community_type,type_bomb_threat,type_vandalism,type_harassment,type_literature_dump,type_performance,type_cyberbullying,type_not_specified
Big Cities,2,105,118,7,9,7,1
Centers of Socioeconomic Inequality,5,26,33,3,3,3,0
Diverse Small Cities,5,88,86,14,6,11,0
Diverse Suburban Jewish Centers,2,26,18,0,0,2,0
Mid-Sized City Republicans,2,49,50,2,5,1,0
Small Town Democrats,0,16,22,5,5,3,0
Suburban Jewish Centers,4,162,36,1,1,4,1
Wealthy Enclaves,4,86,23,6,1,10,0
White Republicans,0,25,29,2,9,1,2
White Suburbs,0,72,64,0,13,9,0
